"ID","Longitude","Latitude","project_name","FPIC","Protected Area","Forest Type","Contested","Customary_use","legal_tenure","deforestation_driver","monetary_benefit_yn","monetary_benefit_type","direct_cash_yn","employment_yn","non_cash_benefits_yn","economic_activities_list","tenure_yn","education_yn","restriction_yn","enhancement_yn","infrastructure_yn","wellbeing_yn","standards","project_objectives","nationality","type_partner","dist_road_m","dist_road_track_m","dist_water_m"
1,-59.264904,-9.096279,"Florestal Santa Maria project","no","no","humid","ND","private","state","fire;illegal logging;industrial agriculture or cattle ranching;local livelihoods;slash and burn agriculture","yes","conditional","yes","yes","yes","processing and commercialization","no","yes","no","no","no","no","VCS","timber production;social development;biodiversity conservation","Brazil","private for profit",4113.72921254211,2098.13479783208,806.329977690265
2,-51.062,-2.737,"RMDLT Portel - Pará REDD Project","no","no","humid","ND","private;communities","state","industrial agriculture or cattle ranching;infrastructure;slash and burn agriculture","yes","non-conditional","no","yes","yes","agroforestry;microenterprise","yes","yes","no","no","no","no","ND","climate;biodiversity conservation;participatory forest management","Switzerland;United States;Belize","private for profit",18414.4125294401,56.0023289398324,5964.76444053736
3,-69.444,-9.044,"The Purus Project","yes","no","humid","no","private","state","fire;local livelihoods;slash and burn agriculture","yes","conditional","yes","yes","yes","ecotourism","yes","yes","yes","yes","yes","yes","CCB;VCS","social development;biodiversity conservation;ND","United States","private for profit",11245.883135222,11245.883135222,2387.68986834255
4,-61.2,-11,"Suruí Forest Carbon Project (SFCP)","yes","no","humid","yes","communities","state","illegal logging;industrial agriculture or cattle ranching;infrastructure;local livelihoods","yes","conditional","ND","yes","yes","agroforestry;ecotourism;plantation forestry;tree planting","yes","no","yes","no","no","yes","CCB;VCS","social development;biodiversity conservation;climate","Brazil","ngo/private non for profit",12284.6474841627,7111.9175956342,3597.62146572309
5,-52.5,-0.5,"Jari/Amapá REDD+ project","yes","yes","humid","no","private","private","cattle grazing;illegal logging;infrastructure;local livelihoods;population increase;transient agriculture","yes","non-conditional","no","yes","yes","agriculture;agroforestry;other;processing and commercialization","no","yes","yes","no","ND","yes","CCB;VCS","climate;biodiversity conservation;social development","Brazil","private for profit;ngo/private non for profit",16072.3073234946,14975.5046896837,461.351292029996
6,-49.416667,-3.25,"Maísa REDD+ Project","no","yes","humid","ND","private","private","cattle grazing;illegal logging;industrial agriculture or cattle ranching;local livelihoods","yes","non-conditional","no","yes","yes","processing and commercialization","ND","no","yes","no","no","no","VCS;CCB","climate;biodiversity conservation;social development","Brazil","private for profit",4583.86021184941,4583.86021184941,17511.9168674424
7,-62.25,-8.916667,"Resex Rio Preto-Jacundá REDD+ Project","yes","yes","humid","ND","private","private","cattle grazing;illegal logging;transient agriculture","yes","non-conditional","no","yes","yes","processing and commercialization","yes","yes","yes","no","yes","yes","VCS;CCB","climate;social development;biodiversity conservation","Brazil","ngo/private non for profit;private for profit",3835.99478355012,3835.99478355012,5621.61593666711
8,-72.349104,-8.107619,"The Valparaiso Project","no","no","humid","no","communities","communities","illegal logging;infrastructure;local livelihoods","yes","conditional","yes","yes","yes","agriculture;other","yes","yes","yes","yes","no","yes","VCS;CCB","biodiversity conservation;climate;ND","United States;Brazil","private for profit;ngo/private non for profit",4680.50137440878,4651.40083432452,381.027723563467
9,-72.608333,-8.166667,"The Russas Project","no","no","humid","no","communities","communities","illegal logging;infrastructure;local livelihoods","yes","conditional","yes","yes","yes","other","yes","yes","yes","yes","ND","ND","VCS;CCB","biodiversity conservation;climate;ND","United States;Brazil","private for profit",15749.2117814662,15070.547070974,3814.62082082731
10,-66.13333,-8.916666,"Fortaleza Ituxi REDD Project","ND","no","humid","yes","private","private","cattle grazing;illegal logging;industrial agriculture or cattle ranching;local livelihoods","yes","non-conditional","no","yes","yes","tree planting","no","yes","no","yes","no","yes","VCS;CCB","biodiversity conservation;climate;non timber production","Brazil","private for profit",274.016615556266,274.016615556266,6493.56205175566
