ID,VCS Methodology
875,VM0007
977,VM0015
963,VM0007
1118,VM0015
1115,VM0015
1329,VM0015
1503,VM0015
1113,VM0007
1112,VM0007
1654,VM0015
1571,VM0015
1686,VM0015
2252,VM0015
2373,VM0015
2539,VM0007
2508,VM0015
981,VM0015
904,VM0006
1650,VM0015
856,VM0009
1396,VM0006
1400,VM0006
1399,VM0006
1392,VM0006
1390,VM0006
1391,VM0006
1395,VM0006
1389,VM0006
1566,VM0007
934,VM0009
1398,VM0015
1311,VM0015
1674,VM0007
1067,VM0007
958,VM0015
944,VM0015
844,VM0007
985,VM0007
1218,VM0007
1882,VM0015
1360,VM0015
2278,VM0006
1799,VM0015
1201,VM0007
1897,VM0007
1202,VM0009
1775,VM0009
2558,VM0015
2566,VM0015
2723,VM0007
2502,VM0006
2510,VM0009
