ID,VCS,Longitude,Latitude,project_name,FPIC,Protected Area,Forest Type,Contested,Customary_use,legal_tenure,deforestation_driver,monetary_benefit_yn,monetary_benefit_type,monetary_benefit_type,direct_cash_yn,employment_yn,non_cash_benefits_yn,non_cash_benefits_type,economic_activities_list,tenure_yn,tenure_type,education_yn,restriction_yn,enhancement_yn,infrastructure_yn,wellbeing_yn,standards,project_objectives,nationality,type_partner,dist_road_m,dist_road_track_m,dist_water_m,dist_urban_m
1,875,-59.264904,-9.096279,Florestal Santa Maria project,no,no,humid,ND,private,state,fire;illegal logging;industrial agriculture or cattle ranching;local livelihoods;slash and burn agriculture,yes,conditional,PES,yes,yes,yes,Training & Capacity Building,processing and commercialization,no,ND,yes,no,no,no,no,VCS,timber production;social development;biodiversity conservation,Brazil,private for profit,4113.729213,2098.134798,806.3299777,354873.952
2,977,-51.062,-2.737,RMDLT Portel - Pará REDD Project,no,no,humid,ND,private;communities,state,industrial agriculture or cattle ranching;infrastructure;slash and burn agriculture,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Infrastructure & Equipment; Microfinance & Enterprise Support,agroforestry;microenterprise,yes,Land titling & tenure security,yes,no,no,no,no,ND,climate;biodiversity conservation;participatory forest management,Switzerland;United States;Belize,private for profit,18414.41253,56.00232894,5964.764441,131991.0368
3,963,-69.444,-9.044,The Purus Project,yes,no,humid,no,private,state,fire;local livelihoods;slash and burn agriculture,yes,conditional,Carbon revenue sharing,yes,yes,yes,Training & Capacity Building; Health Services; Infrastructure & Equipment,ecotourism,yes,Land titling & tenure security,yes,yes,yes,yes,yes,CCB;VCS,social development;biodiversity conservation;ND,United States,private for profit,11245.88314,11245.88314,2387.689868,200416.6107
4,1118,-61.2,-11,Suruí Forest Carbon Project (SFCP),yes,no,humid,yes,communities,state,illegal logging;industrial agriculture or cattle ranching;infrastructure;local livelihoods,yes,conditional,PES,ND,yes,yes,Training & Capacity Building; Microfinance & Enterprise Support; Health Services,agroforestry;ecotourism;plantation forestry;tree planting,yes,ND,no,yes,no,no,yes,CCB;VCS,social development;biodiversity conservation;climate,Brazil,ngo/private non for profit,12284.64748,7111.917596,3597.621466,53634.21299
5,1115,-52.5,-0.5,Jari/Amapá REDD+ project,yes,yes,humid,no,private,private,cattle grazing;illegal logging;infrastructure;local livelihoods;population increase;transient agriculture,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Agricultural & Livelihood Support,agriculture;agroforestry;other;processing and commercialization,no,ND,yes,yes,no,ND,yes,CCB;VCS,climate;biodiversity conservation;social development,Brazil,private for profit;ngo/private non for profit,16072.30732,14975.50469,461.351292,153325.3601
6,1329,-49.416667,-3.25,Maísa REDD+ Project,no,yes,humid,ND,private,private,cattle grazing;illegal logging;industrial agriculture or cattle ranching;local livelihoods,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building,processing and commercialization,ND,ND,no,yes,no,no,no,VCS;CCB,climate;biodiversity conservation;social development,Brazil,private for profit,4583.860212,4583.860212,17511.91687,60592.92051
7,1503,-62.25,-8.916667,Resex Rio Preto-Jacundá REDD+ Project,yes,yes,humid,ND,private,private,cattle grazing;illegal logging;transient agriculture,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Infrastructure & Equipment; Health Services,processing and commercialization,yes,Land use planning & demarcation,yes,yes,no,yes,yes,VCS;CCB,climate;social development;biodiversity conservation,Brazil,ngo/private non for profit;private for profit,3835.994784,3835.994784,5621.615937,138253.6823
8,1113,-72.349104,-8.107619,The Valparaiso Project,no,no,humid,no,communities,communities,illegal logging;infrastructure;local livelihoods,yes,conditional,Carbon revenue sharing,yes,yes,yes,Training & Capacity Building,agriculture;other,yes,Land titling & tenure security,yes,yes,yes,no,yes,VCS;CCB,biodiversity conservation;climate;ND,United States;Brazil,private for profit;ngo/private non for profit,4680.501374,4651.400834,381.0277236,62478.84429
9,1112,-72.608333,-8.166667,The Russas Project,no,no,humid,no,communities,communities,illegal logging;infrastructure;local livelihoods,yes,conditional,Carbon revenue sharing,yes,yes,yes,Training & Capacity Building,other,yes,Land titling & tenure security,yes,yes,yes,ND,ND,VCS;CCB,biodiversity conservation;climate;ND,United States;Brazil,private for profit,15749.21178,15070.54707,3814.620821,59061.91468
10,1654,-66.13333,-8.916666,Fortaleza Ituxi REDD Project,ND,no,humid,yes,private,private,cattle grazing;illegal logging;industrial agriculture or cattle ranching;local livelihoods,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building,tree planting,no,ND,yes,no,yes,no,yes,VCS;CCB,biodiversity conservation;climate;non timber production,Brazil,private for profit,274.0166156,274.0166156,6493.562052,217218.9184
11,1571,-62.70768,-8.864257,Manoa REDD+ Project,yes,yes,humid,yes,private,private,cattle grazing;illegal logging;infrastructure;local livelihoods,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building,agriculture;agroforestry;tree planting,no,ND,yes,yes,yes,no,yes,VCS;CCB;FSC,climate;biodiversity conservation;social development,Brazil,private for profit,7910.688344,3621.723676,1173.522078,120067.1559
12,1686,-70.526498,-9.047868,Agrocortex REDD Project,no,ND,humid,ND,state;private;communities,state;private;communities,illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;infrastructure,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building,ND,yes,Land use planning & demarcation,yes,yes,yes,no,yes,VCS,biodiversity conservation;climate;social development,Brazil,private for profit,40370.90243,35810.19656,1060.451109,285082.0201
13,2252,-50.82404,-1.938712,Rio Anapu-Pacaja REDD Project,no,no,humid,no,communities,communities,local livelihoods,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Infrastructure & Equipment; Health Services,agriculture;agroforestry;ecotourism;fuel efficient stoves,yes,Land titling & tenure security,yes,yes,no,no,yes,VCS;CCB,indigenous peoples;social development;climate,Brazil,private for profit,30.88281028,30.88281028,1160.280722,45696.45397
14,2373,-59.696525,-5.6237778,Yellow Ipê Program,ND,yes,humid,no,private;state;communities,private;state,cattle grazing;infrastructure;local livelihoods,yes,conditional,Pension; PES,yes,ND,yes,Training & Capacity Building,ntfp,no,ND,yes,yes,yes,no,yes,VCS,climate;social development;biodiversity conservation,Brazil,private for profit,42806.70798,11032.4212,4268.102833,276880.1315
15,2539,-59.394978,-7.560309,EVERGREEN REDD+ PROJECT,yes,yes,humid,ND,private;communities,private,illegal logging;agriculture;local livelihoods,yes,non-conditional,Job,no,yes,yes,Infrastructure & Equipment,ntfp,yes,ND,yes,yes,ND,ND,ND,VCS,ecosystem restoration;social development;biodiversity conservation,Brazil,private for profit,34767.40209,34767.40209,28811.48882,465308.0376
16,2508,-66.347021,-9.142691,UNITOR REDD+ PROJECT,yes,no,humid,yes,private;communities,private,industrial agriculture or cattle ranching;population increase;infrastructure;illegal logging;fire;other policy,yes,conditional,Carbon revenue sharing,yes,yes,yes,Health Services,ntfp,yes,Land titling & tenure security,yes,yes,no,ND,yes,VCS,climate;biodiversity conservation;social development,Brazil,private for profit;local communities/landowners/cooperatives,5589.264591,5589.264591,8985.638498,183779.4732
17,981,-51.315856,-1.979919,ADPML Portel-Para REDD Project,yes,ND,humid,ND,private;communities,private,other land speculation;illegal logging;infrastructure,no,ND,None,ND,ND,yes,Training & Capacity Building; Legal & Land Rights; Infrastructure & Equipment,agroforestry;fuel efficient cookstoves,yes,Land titling & tenure security,yes,yes,yes,ND,ND,VCS;CCB,ecosystem restoration;climate;biodiversity conservation,Guernsey,private for profit,31073.47933,23266.33373,14643.24195,96998.65833
18,904,103.66264,14.30416,Oddar Meanchey REDD Project,no,no,dry and humid,ND,communities,communities,energy wood;fire;illegal logging;industrial wood exploitation;local livelihoods;oil extraction,yes,conditional,Carbon revenue sharing,ND,yes,yes,Training & Capacity Building; Infrastructure & Equipment; Water & Sanitation,micro-credits;processing and commercialization,yes,Land titling & tenure security,yes,yes,yes,no,yes,CCB;VCS,biodiversity conservation;climate;social development,United States;Cambodia,ngo/private non for profit;public;private for profit,40.861436,40.861436,12553.72182,44692.85067
